Label	slice	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Peak_T1	Mean_T1	Saturated	Source_Error_T1	Source_SNR_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	J.D.-2400000	RA_T1	DEC_T1	JD_SOBS	JD_UTC	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	X-Width_T1	Y-Width_T1	Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	N_Src_Pixels_C2	Source_Error_C2	Source_SNR_C2	Sky/Pixel_C2	N_Sky_Pixels_C2	Peak_C2	Mean_C2	X-Width_C2	Y-Width_C2	FWHM_C2	Width_C2	Angle_C2	Roundness_C2	X(IJ)_T3	Y(IJ)_T3	X(FITS)_T3	Y(FITS)_T3	RA_T3	DEC_T3	Source-Sky_T3	N_Src_Pixels_T3	Source_Error_T3	Source_SNR_T3	Sky/Pixel_T3	N_Sky_Pixels_T3	Peak_T3	Mean_T3	X-Width_T3	Y-Width_T3	FWHM_T3	Width_T3	Angle_T3	Roundness_T3	FWHM_Mean	Source_AMag_T1	Source_AMag_Err_T1	Source_AMag_C2	Source_AMag_Err_C2	Source_AMag_T3	Source_AMag_Err_T3	rel_flux_T1	rel_flux_err_T1	rel_flux_SNR_T1	rel_flux_C2	rel_flux_err_C2	rel_flux_SNR_C2	rel_flux_T3	rel_flux_err_T3	rel_flux_SNR_T3	tot_C_cnts	tot_C_err
AD Leo_2026-01-19_Light_V_p002_calibrated.fits	1	943.7568446849511	781.8139383250312	944.2568446849511	722.6860616749688	87082.11035895249	148.07401558124738	5352	588.0985263830507	0	169.82529583117235	512.7746719518335	25.341701534170152	717	3.8803057516339483	6.865378579979673	1.3	8	12	20	61060.4054869446	10.32649556262851	19.86975741563004	NaN	2461060.4054869446	NaN	0	1.397528	NaN	-20.1	10	NaN	NaN	5.2962766828908405	5.241361052372978	5.268818867631909	33.08546046018518	0.9993344841067957	922.8522189073279	849.390235975951	923.3522189073279	655.109764024049	10.32675960379987	19.89482327508218	32189.047731097988	148.07401558124738	107.4457430651272	299.5842069944726	24.723076923076924	715	2019	217.38485043944823	5.2931633178381565	5.175216202716915	3.8533902911798634	5.234189760277536	32.74261192456804	0.9970513706470747	941.8763031318693	947.6706280233702	942.3763031318693	556.8293719766298	10.325902713185593	19.928580316087288	6995.039932713047	148.07401558124735	59.87406299445185	116.82921757558417	24.004255319148935	705	453	47.24015827662153	5.253741337685633	5.251654993124159	3.8748566548364725	5.252698165404896	44.72350136752159	0.9983063645869859	3.8695175658834278	9.328447959059249	0.0041892512403419	10.409	0.0036181084648916	12.066294826920636	0.0099294753060155	2.705333537246026	0.0104585390658643	258.67222182838066	0	0	0	0.2173111796020951	0.0019965098532627	108.84553324240592	32189.047731097988	107.4457430651272
AD Leo_2026-01-19_Light_V_p003_calibrated.fits	2	942.3565681774157	782.1725294264596	942.8565681774157	722.3274705735404	87018.35658430948	177.94978732772063	3973	489.0051170673917	0	170.83245090397375	509.37837702289465	25.511756569847858	723	4.332099082833613	7.526166125639037	1.3	8	12	20	61060.40589511581	10.326495935625985	19.86964379475579	NaN	2461060.405895116	NaN	0	1.395132	NaN	-20.1	10	NaN	NaN	5.812636021197948	5.754916025629059	5.783776023413504	330.3091584203229	0.9996160873475096	921.4790417653282	849.8274765900333	921.9790417653282	654.6725234099667	10.326759084575778	19.894728045914682	32320.098779749824	177.94978732772074	109.34138824621698	295.5888826559511	25.07531380753138	717	1627	181.62482386240563	5.601038796290997	5.706238069523654	4.090203001971649	5.653638432907325	291.56355970048776	0.9993501092453749	940.578001218769	948.3777220062649	941.078001218769	556.1222779937351	10.325899696333387	19.928568190006597	6994.872936189488	177.94978732772057	62.6923364170012	111.57460921001162	24.07857142857143	700	357	39.30812754109903	5.67388959943052	5.90692157939891	4.329197267206491	5.790405589414715	295.3987912803311	0.995949187930991	4.250499784003918	9.33365450605785	0.0042384960300857	10.409	0.0036669301024282	12.070732124042458	0.0103516911505712	2.692391418024715	0.0105310974924209	255.6610476697602	0	0	0	0.2164248625555603	0.0020733189619247	104.38570549446533	32320.098779749824	109.34138824621698
AD Leo_2026-01-19_Light_V_p004_calibrated.fits	3	942.861845524823	783.1423097563963	943.361845524823	721.3576902436037	86774.13871377925	144.4577657173553	5251	600.6886392217965	0	169.3576777087201	512.3720393888663	25.017931034482757	725	4.0745120137421775	6.781027574332378	1.3	8	12	20	61060.4063039585	10.32649715688202	19.869706776580898	NaN	2461060.4063039585	NaN	0	1.392814	NaN	-20	10	NaN	NaN	5.244129982083304	5.21488463033049	5.229507306206896	321.0801705400666	0.9992951935710583	921.8878034312621	850.8366830732457	922.3878034312621	653.6633169267543	10.326762511660842	19.894826263357132	32581.380132507333	144.45776571735536	107.75196694040078	302.3738782469612	24.527891156462584	735	1865	225.54260043212727	5.199127940820941	5.233026881115705	4.04584620658294	5.216077410968323	310.31318825046384	0.9984078521830678	941.0726587267586	949.1939147670961	941.5726587267586	555.3060852329039	10.325901498114566	19.928619767588554	7018.512677192023	144.45776571735522	59.51621037693946	117.92606808701419	23.834978843441466	709	449	48.58522241666386	5.205267248632013	4.77756541577613	3.820231690677429	4.991416332204071	338.1364149306096	0.9859912817968777	3.9801966370008492	9.345447912880825	0.0041613683190379	10.409	0.0035847832020629	12.075810970466291	0.0098376349172121	2.6633045733750955	0.0102273992716356	260.40878063316103	0	0	0	0.2154148365921879	0.0019606993548213	109.86632706462218	32581.380132507333	107.75196694040078
AD Leo_2026-01-19_Light_V_p005_calibrated.fits	4	942.9356728795103	783.8495480863711	943.4356728795103	720.6504519136289	87692.63154005964	139.69883623063248	5824	627.7262853878436	0	170.10885073501376	515.5089294951644	25.412894375857338	729	3.8108877264679935	6.668397158281789	1.3	8	12	20	61060.40671240771	10.326495975192824	19.869727954865557	NaN	2461060.4067124077	NaN	0	1.390455	NaN	-20	10	NaN	NaN	5.199893738643523	4.9392344952455	5.069564116944511	3.4721702108419006	0.9973206679452234	922.0554311611078	851.557767222526	922.5554311611078	652.942232777474	10.3267594682382	19.894842393779218	32682.364094853237	139.69883623063248	107.77063414800696	303.2585300553105	24.79743223965763	701	2276	233.94872123986104	5.098565731788326	4.8785725346563185	3.507239017697036	4.988569133222322	1.9777147194492815	0.9980478384641139	941.1514065789194	949.8432163139918	941.6514065789194	554.6567836860082	10.325901339136731	19.92860075661357	6828.390822409521	139.69883623063245	58.507323437645525	116.71001886946534	23.559593023255815	688	499	48.879367979389265	5.090149356372281	4.889778395847714	3.7776013230967402	4.989963876109998	17.311507837647166	0.9976208494856323	3.6985760224205904	9.337375902561817	0.0041458573929264	10.409	0.0035743430321084	12.108987734841946	0.0099225270335859	2.6831789550337124	0.0102652401448978	261.38491814702826	0	0	0	0.2089319732988607	0.0019181779469776	108.92210163716265	32682.364094853237	107.77063414800696
AD Leo_2026-01-19_Light_V_p006_calibrated.fits	5	942.2853203157194	782.2890632267668	942.7853203157194	722.2109367732332	87455.2706745446	159.88056151742134	4661	547.0037748461064	0	170.569116468848	512.7262923386079	25.346260387811633	722	3.927232152868932	7.133832303861015	1.3	8	12	20	61060.40712098405	10.326499296040476	19.869586703054605	NaN	2461060.407120984	NaN	0	1.388072	NaN	-19.9	10	NaN	NaN	5.558567869343764	5.404232869680862	5.481400369512313	29.04778893856152	0.9971628823323335	921.3510260628626	850.0409303534303	921.8510260628626	654.4590696465697	10.326763927109791	19.894720298019283	31872.883738332723	159.88056151742146	107.5526487180316	296.3468042697224	24.553546592489568	719	1819	199.35433948835413	5.435207176197419	5.491754600586768	3.9307319305592	5.463480888392094	52.26217810972973	0.9982969092740894	940.392996303327	948.2742064284288	940.892996303327	556.2257935715712	10.325906948191658	19.928463907027925	6896.572331302057	159.88056151742148	60.405762054632895	114.1707694220392	23.56378600823045	729	423	43.13577751946141	5.4689148864457735	5.541515303194816	3.8901688113747044	5.505215094820295	59.07209647218386	0.9992184178949308	3.9160442982676122	9.313088425777538	0.0042234503734039	10.409	0.0036575675261624	12.070970157816527	0.010143563858694	2.743876939172728	0.0106943075395771	256.57359572074097	0	0	0	0.2163774193738147	0.0020309932347233	106.53773517039521	31872.883738332723	107.5526487180316
AD Leo_2026-01-19_Light_V_p007_calibrated.fits	6	942.6270258679266	783.0513300911065	943.1270258679266	721.4486699088935	86134.13173322323	153.8233222355433	5177	559.9549566438931	0	169.15105822313626	509.21426468168505	25.467764060356654	729	3.8915610479524396	6.997391241970705	1.3	8	12	20	61060.40752915526	10.326494378211187	19.869680170509362	NaN	2461060.4075291553	NaN	0	1.385766	NaN	-19.9	10	NaN	NaN	5.424912125462924	5.268976386986776	5.34694425622485	340.0970291463654	0.9985594532414999	921.5881521713574	850.7694371568829	922.0881521713574	653.7305628431171	10.326761001344693	19.894810884568237	32202.740050164342	153.8233222355433	107.65970389514835	299.11600055604043	24.398899587345255	727	1830	209.34887884461122	5.398470260843614	5.412456290218121	4.031089019901554	5.405463275530868	313.75772911645066	0.9964375689450163	940.6289920548372	949.2177040739058	941.1289920548372	555.2822959260942	10.325902264121469	19.928642201763836	6774.885611472831	153.8233222355432	59.814421636881086	113.26508601222505	23.974431818181817	704	398	44.043292740087445	5.324443556702782	5.267145792886074	4.127827209796038	5.295794674794428	324.7443251214381	0.9989483210773787	4.016825759216677	9.3407938652041	0.004201581636121	10.409	0.0036237624513867	12.101477148500178	0.0102019476316125	2.674745428464981	0.0103707825318219	257.9116301260521	0	0	0	0.2103822718476485	0.0019861401816867	105.92518785304453	32202.740050164342	107.65970389514835
AD Leo_2026-01-19_Light_V_p008_calibrated.fits	7	942.2934071851072	783.3953515154427	942.7934071851072	721.1046484845573	86887.03955499614	140.41711921762598	6095	618.7781093866051	0	169.35140627774038	513.0576796776007	24.978386167146976	694	3.8102870431317735	6.685518471773022	1.3	8	12	20	61060.407938391436	10.326498113423732	19.8696990723026	NaN	2461060.4079383914	NaN	0	1.383444	NaN	-19.9	10	NaN	NaN	4.786031601683931	5.100872690719519	4.943452146201725	67.67359925567412	0.9920009186128135	921.3678714494989	851.0105725347897	921.8678714494989	653.4894274652103	10.326762266015836	19.894784706703224	31933.801825541483	140.41711921762598	106.6398634087279	299.45463923885586	24.4093567251462	684	2154	227.42100111061788	4.809429939011239	5.183079831877132	3.855002980199428	4.996254885444186	273.2712063424964	0.9943493052982894	940.4484144094704	949.2736362862735	940.9484144094704	555.2263637137265	10.325903897390539	19.928543266039252	6954.1051894695665	140.41711921762598	58.805618352350955	118.25579569288811	23.53314917127072	724	500	49.52462511847805	4.729835278940531	5.144167027648784	3.9501328294407836	4.937001153294657	81.40248046570039	0.9923094261999601	3.8718076175906617	9.322239064446375	0.0041900134408459	10.409	0.0036196713380739	12.06402342545799	0.0098266259972247	2.7208485863872816	0.010520436092633	258.6250762259354	0	0	0	0.2177662787368929	0.0019798739632085	109.98997046457711	31933.801825541483	106.6398634087279
AD Leo_2026-01-19_Light_V_p009_calibrated.fits	8	942.3652133699105	783.5421303945242	942.8652133699105	720.9578696054758	88316.11657864522	126.31881256415636	6360	699.1525235703917	0	170.26762268302343	518.690019787601	25.471167369901547	711	3.7816550591695495	6.341019385727203	1.3	8	12	20	61060.408347199205	10.326498079215222	19.86964617103622	NaN	2461060.408347199	NaN	0	1.381123	NaN	-20	10	NaN	NaN	4.777700135086786	5.000627290460559	4.889163712773673	302.2299905457776	0.9888270984145089	921.4231999149832	851.2547314351938	921.9231999149832	653.2452685648062	10.326762682843553	19.894757878113804	31786.221171904326	126.3188125641563	105.56677512545997	301.1006174445345	24.035961272475795	723	2434	251.63489528339542	4.732236013192535	4.867127399080107	3.5486095678663983	4.799681706136321	305.8769138086122	0.9919461242932179	940.5499637625459	949.6679261862918	941.0499637625459	554.8320738137082	10.325903178351696	19.92855143963094	6872.201969124289	126.31881256415639	57.383680534009784	119.75882176207426	23.51948051948052	693	610	54.40363022438917	4.774058874032891	4.7653669698298025	3.4922207394556795	4.7697129219313465	317.02989285479094	0.999337462231578	3.6074951221638756	9.299497342130097	0.004161433920984	10.409	0.0035999170314315	12.071857465792487	0.0097132258154691	2.7784402587844372	0.0106697022150371	260.4046676081278	0	0	0	0.2162006591459381	0.0019428544776313	111.27990368559459	31786.221171904326	105.56677512545997
AD Leo_2026-01-19_Light_V_p010_calibrated.fits	9	942.0138447430529	783.3800103793772	942.5138447430529	721.1199896206228	87298.88575439836	129.65011263707447	5877	673.342151261923	0	169.343659601943	515.513163938951	24.976995940460082	739	3.6242188251880427	6.424088464305486	1.3	8	12	20	61060.40875678277	10.326495540246212	19.869541471599742	NaN	2461060.4087567828	NaN	0	1.378877	NaN	-20	10	NaN	NaN	4.8848836463710965	4.944120533865041	4.914502090118068	88.75114458991142	0.99985444757365	921.0835241775204	851.2028293528126	921.5835241775204	653.2971706471874	10.326759741919535	19.894694285297174	32189.126217784706	129.65011263707444	106.41756069038219	302.4794593012495	24.27338129496403	695	2203	248.2768858665841	4.934106252301692	4.8516849274716325	3.779709333418183	4.892895589886662	16.93635005949025	0.9995884347763002	940.2344603983325	949.6641443801951	940.7344603983325	554.8358556198049	10.325899334732865	19.928503706648485	6973.352890252828	129.65011263707447	57.82225927277521	120.59979976493467	23.317991631799163	717	490	53.78593777062977	5.00582963433987	4.831405703494727	3.7423681991132787	4.918617668917298	12.513727027510475	0.9984692800199224	3.7154321192398343	9.325751218041683	0.0041537690030458	10.409	0.00358353398907	12.069668860858023	0.0096489856225564	2.712061370158136	0.0103955758756594	260.88611180341127	0	0	0	0.2166369115791656	0.0019338421473175	112.02409249362474	32189.126217784706	106.41756069038219
AD Leo_2026-01-19_Light_V_p011_calibrated.fits	10	943.2586425744792	784.2081302257676	943.7586425744792	720.2918697742324	87647.34861484342	161.5074976781125	4722	542.6828467711526	0	170.66234368714268	513.5716920395637	24.532867132867132	715	4.144283052693518	7.170037182870731	1.3	8	12	20	61060.40916518541	10.326494315244997	19.869609726167766	NaN	2461060.4091651854	NaN	0	1.376587	NaN	-20	10	NaN	NaN	5.199563453356236	5.635035122531805	5.4172992879440205	72.92313275193162	0.990594535664999	922.2154625057061	851.8676986426719	922.7154625057061	652.6323013573281	10.326761672006624	19.894713099428834	32560.098895246003	161.50749767811266	108.44887622689966	300.2345439442165	23.67153284671533	685	1665	201.60116009065328	5.342761815281333	5.520523974778131	4.185837326724559	5.431642895029732	75.05189684244827	0.9985756528464669	941.3089207048458	950.3353249781405	941.8089207048458	554.1646750218595	10.325902534149241	19.928536497431818	7103.518656112012	161.50749767811257	60.92618155832064	116.59221822907577	23.275204359673026	734	427	43.982593738585784	5.113803546235784	5.390680555468675	4.079132890389466	5.25224205085223	77.20266481090431	0.9965881447904762	4.136417756602515	9.333867330873462	0.0041808480132692	10.409	0.003610284308967	12.062030474782606	0.0099440986256547	2.6918637101449505	0.0103855515438718	259.19313950479113	0	0	0	0.2181663722510737	0.002007332197764	108.68473713224631	32560.098895246003	108.44887622689966
